id,sample_accession,study_accession
ERR038259,SAMEA961676,PRJEB2221
ERR038260,SAMEA961671,PRJEB2221
ERR038261,SAMEA961670,PRJEB2221
ERR038262,SAMEA961673,PRJEB2221
ERR038263,SAMEA961672,PRJEB2221
ERR038264,SAMEA961679,PRJEB2221
ERR038265,SAMEA961678,PRJEB2221
ERR038266,SAMEA961575,PRJEB2221
ERR038269,SAMEA961574,PRJEB2221
ERR038270,SAMEA961571,PRJEB2221
ERR038271,SAMEA961572,PRJEB2221
ERR038272,SAMEA961569,PRJEB2221
ERR038273,SAMEA961570,PRJEB2221
ERR038274,SAMEA961577,PRJEB2221
ERR038275,SAMEA961578,PRJEB2221
ERR038276,SAMEA961594,PRJEB2221
ERR038277,SAMEA961593,PRJEB2221
ERR038278,SAMEA961592,PRJEB2221
ERR038279,SAMEA961591,PRJEB2221
ERR038280,SAMEA961598,PRJEB2221
ERR038281,SAMEA961597,PRJEB2221
ERR038282,SAMEA961596,PRJEB2221
ERR038283,SAMEA961595,PRJEB2221
ERR038284,SAMEA961590,PRJEB2221
ERR038285,SAMEA961589,PRJEB2221
ERR038286,SAMEA961617,PRJEB2221
ERR038287,SAMEA961618,PRJEB2221
ERR038288,SAMEA961619,PRJEB2221
ERR038290,SAMEA961613,PRJEB2221
ERR038291,SAMEA961614,PRJEB2221
ERR038292,SAMEA961615,PRJEB2221
ERR038293,SAMEA961616,PRJEB2221
ERR038294,SAMEA961611,PRJEB2221
ERR038295,SAMEA961612,PRJEB2221
ERR038296,SAMEA961623,PRJEB2221
ERR038298,SAMEA961625,PRJEB2221
ERR038299,SAMEA961624,PRJEB2221
ERR038300,SAMEA961627,PRJEB2221
ERR038736,SAMEA787739,NA
ERR038739,SAMEA787754,NA
ERR038740,SAMEA787708,NA
ERR038741,SAMEA787707,NA
ERR038742,SAMEA787704,NA
ERR038743,SAMEA787703,NA
ERR038744,SAMEA787702,NA
ERR038745,SAMEA787756,NA
ERR038746,SAMEA787752,NA
ERR038747,SAMEA787724,NA
ERR038748,SAMEA787715,NA
ERR038749,SAMEA787714,NA
ERR038750,SAMEA787729,NA
ERR038751,SAMEA787730,NA
ERR038752,SAMEA787727,NA
ERR038753,SAMEA787728,NA
ERR038754,SAMEA787725,NA
ERR038755,SAMEA787726,NA
ERR039323,SAMEA961644,PRJEB2221
