id,sample_accession,study_accession
ERR190401,SAMEA1569273,NA
ERR190402,SAMEA1569271,NA
ERR190403,SAMEA1569291,NA
ERR190404,SAMEA1569240,NA
ERR190405,SAMEA1569230,NA
ERR190406,SAMEA1569296,NA
ERR190407,SAMEA1569236,NA
ERR190408,SAMEA1569221,NA
ERR190409,SAMEA1569229,NA
ERR190410,SAMEA1569210,NA
ERR1952138,SAMEA104035988,PRJEB15076
ERR1952140,SAMEA104035990,PRJEB15076
ERR1952141,SAMEA104035991,PRJEB15076
ERR1952142,SAMEA104035992,PRJEB15076
ERR2041682,SAMEA104172468,NA
ERR2041683,SAMEA104172430,NA
ERR2041684,SAMEA104172482,NA
ERR2041687,SAMEA104172443,NA
ERR2041688,SAMEA104172448,NA
ERR2041689,SAMEA104172449,NA
ERR2041691,SAMEA104172418,NA
ERR2041693,SAMEA104172508,NA
ERR2041696,SAMEA104172473,NA
ERR2041698,SAMEA104172435,NA
ERR2041700,SAMEA104172431,NA
ERR2041702,SAMEA104172469,NA
ERR2041704,SAMEA104172421,NA
ERR2041706,SAMEA104172419,NA
ERR2041708,SAMEA104172488,NA
ERR2041709,SAMEA104172450,NA
ERR2041711,SAMEA104172484,NA
ERR2041712,SAMEA104172456,NA
ERR2041714,SAMEA104172474,NA
ERR2041716,SAMEA104172420,NA
ERR2041717,SAMEA104172465,NA
ERR2041718,SAMEA104172440,NA
ERR2041719,SAMEA104172496,NA
ERR2041720,SAMEA104172414,NA
ERR2041721,SAMEA104172475,NA
ERR2041722,SAMEA104172477,NA
ERR2041723,SAMEA104172451,NA
ERR2041724,SAMEA104172497,NA
ERR2041727,SAMEA104172489,NA
ERR2041728,SAMEA104172507,NA
ERR2041729,SAMEA104172466,NA
ERR2041730,SAMEA104172483,NA
ERR2041731,SAMEA104172434,NA
ERR2041732,SAMEA104172485,NA
ERR2041733,SAMEA104172512,NA
ERR2041734,SAMEA104172457,NA
ERR2041735,SAMEA104172470,NA
ERR2041736,SAMEA104172444,NA
ERR2041738,SAMEA104172458,NA
ERR2041739,SAMEA104172445,NA
ERR2041741,SAMEA104172502,NA
ERR2041742,SAMEA104172425,NA
ERR2041743,SAMEA104172428,NA
ERR2041744,SAMEA104172424,NA
ERR2041745,SAMEA104172493,NA
ERR2041746,SAMEA104172463,NA
ERR2041747,SAMEA104172494,NA
ERR2041748,SAMEA104172441,NA
ERR2041749,SAMEA104172438,NA
ERR2041750,SAMEA104172505,NA
ERR2041751,SAMEA104172503,NA
ERR2041752,SAMEA104172471,NA
ERR2041753,SAMEA104172464,NA
ERR2041754,SAMEA104172446,NA
ERR2041755,SAMEA104172476,NA
ERR2041756,SAMEA104172452,NA
ERR2041757,SAMEA104172506,NA
ERR2041758,SAMEA104172487,NA
ERR2041759,SAMEA104172439,NA
ERR2041760,SAMEA104172413,NA
ERR2041761,SAMEA104172499,NA
ERR2041762,SAMEA104172447,NA
ERR2041763,SAMEA104172462,NA
ERR2041764,SAMEA104172437,NA
ERR2041765,SAMEA104172498,NA
ERR2041766,SAMEA104172442,NA
ERR2041767,SAMEA104172513,NA
ERR2041768,SAMEA104172429,NA
ERR2041769,SAMEA104172486,NA
ERR2041770,SAMEA104172479,NA
ERR2041771,SAMEA104172495,NA
ERR2041772,SAMEA104172423,NA
ERR2041773,SAMEA104172509,NA
ERR2041774,SAMEA104172490,NA
ERR2041775,SAMEA104172491,NA
ERR2041776,SAMEA104172510,NA
ERR2041777,SAMEA104172455,NA
ERR2041780,SAMEA104172432,NA
ERR2041781,SAMEA104172426,NA
ERR2041782,SAMEA104172472,NA
ERR2041783,SAMEA104172427,NA
ERR2041784,SAMEA104172492,NA
ERR2041785,SAMEA104172460,NA
ERR2041786,SAMEA104172433,NA
ERR2041787,SAMEA104172415,NA
ERR2041788,SAMEA104172514,NA
ERR2041789,SAMEA104172436,NA
ERR2041791,SAMEA104172459,NA
ERR2041793,SAMEA104172515,NA
ERR2041794,SAMEA104172478,NA
ERR2041795,SAMEA104172453,NA
ERR2041796,SAMEA104172461,NA
ERR2041798,SAMEA104172454,NA
ERR2041800,SAMEA104172422,NA
ERR2041802,SAMEA104172481,NA
ERR2041803,SAMEA104172511,NA
ERR2041804,SAMEA104172500,NA
ERR2041805,SAMEA104172467,NA
ERR2041928,SAMEA104172659,PRJEB21922
ERR2041929,SAMEA104172667,PRJEB21922
ERR2041930,SAMEA104172651,PRJEB21922
ERR2041931,SAMEA104172655,PRJEB21922
ERR2041932,SAMEA104172654,PRJEB21922
ERR2041933,SAMEA104172660,PRJEB21922
ERR2041934,SAMEA104172661,PRJEB21922
ERR2041935,SAMEA104172656,PRJEB21922
ERR2041936,SAMEA104172662,PRJEB21922
ERR2041937,SAMEA104172653,PRJEB21922
ERR2041938,SAMEA104172663,PRJEB21922
ERR2041939,SAMEA104172665,PRJEB21922
ERR2041940,SAMEA104172666,PRJEB21922
ERR2041941,SAMEA104172657,PRJEB21922
ERR2041942,SAMEA104172668,PRJEB21922
ERR2041943,SAMEA104172664,PRJEB21922
ERR2041944,SAMEA104172658,PRJEB21922
ERR2041945,SAMEA104172652,PRJEB21922
ERR2099775,SAMEA104221057,NA
ERR2099776,SAMEA104221058,NA
ERR2099777,SAMEA104221059,NA
ERR2099778,SAMEA104221060,NA
ERR2099779,SAMEA104221061,NA
ERR2099781,SAMEA104221063,NA
ERR2099782,SAMEA104221064,NA
ERR2099783,SAMEA104221065,NA
ERR2099785,SAMEA104221067,NA
ERR2099786,SAMEA104221068,NA
ERR2099787,SAMEA104221069,NA
ERR2099788,SAMEA104221070,NA
ERR2099789,SAMEA104221071,NA
ERR2099790,SAMEA104221072,NA
ERR2099791,SAMEA104221073,NA
ERR211990,SAMEA1569295,NA
ERR211991,SAMEA1569290,NA
ERR211993,SAMEA1569214,NA
ERR211994,SAMEA1569216,NA
ERR211996,SAMEA1569226,NA
ERR211997,SAMEA1569218,NA
ERR211998,SAMEA1569232,NA
ERR211999,SAMEA1569227,NA
ERR212000,SAMEA1569096,NA
ERR212006,SAMEA1569339,NA
ERR212007,SAMEA1569359,NA
ERR212008,SAMEA1569357,NA
ERR212009,SAMEA1569356,NA
ERR212010,SAMEA1569354,NA
ERR212011,SAMEA1569306,NA
ERR212012,SAMEA1569312,NA
ERR212013,SAMEA1569183,NA
ERR212014,SAMEA1569186,NA
ERR212016,SAMEA1569198,NA
ERR212017,SAMEA1569191,NA
ERR212019,SAMEA1569153,NA
ERR212020,SAMEA1569158,NA
ERR212021,SAMEA1569141,NA
ERR212022,SAMEA1569142,NA
ERR212023,SAMEA1569148,NA
ERR212024,SAMEA1569152,NA
ERR212025,SAMEA1569111,NA
ERR212027,SAMEA1569129,NA
ERR212029,SAMEA1569351,NA
ERR212030,SAMEA1569263,NA
ERR212031,SAMEA1569267,NA
ERR212032,SAMEA1569249,NA
ERR212036,SAMEA1569247,NA
ERR212037,SAMEA1569316,NA
ERR212038,SAMEA1569324,NA
ERR212039,SAMEA1569308,NA
ERR212040,SAMEA1569294,NA
ERR212041,SAMEA1569303,NA
ERR212043,SAMEA1569284,NA
ERR212044,SAMEA1569347,NA
ERR212045,SAMEA1569345,NA
ERR212046,SAMEA1569342,NA
ERR212047,SAMEA1569338,NA
ERR212048,SAMEA1569336,NA
ERR212049,SAMEA1569130,NA
ERR212050,SAMEA1569136,NA
ERR212051,SAMEA1569131,NA
ERR212053,SAMEA1569121,NA
ERR212054,SAMEA1569196,NA
ERR212055,SAMEA1569192,NA
ERR212056,SAMEA1569180,NA
ERR212057,SAMEA1569187,NA
ERR212059,SAMEA1569252,NA
ERR212060,SAMEA1569255,NA
ERR212063,SAMEA1569311,NA
ERR212064,SAMEA1569318,NA
ERR212065,SAMEA1569321,NA
ERR212066,SAMEA1569282,NA
ERR212067,SAMEA1569289,NA
ERR212068,SAMEA1569285,NA
ERR212069,SAMEA1569132,NA
ERR212070,SAMEA1569128,NA
ERR212071,SAMEA1569123,NA
ERR212072,SAMEA1569115,NA
ERR212073,SAMEA1569114,NA
ERR212075,SAMEA1569146,NA
ERR212077,SAMEA1569140,NA
ERR212078,SAMEA1569100,NA
ERR212079,SAMEA1569155,NA
ERR212080,SAMEA1569164,NA
ERR212081,SAMEA1569189,NA
ERR212083,SAMEA1569173,NA
ERR212085,SAMEA1569185,NA
ERR212086,SAMEA1569288,NA
ERR212087,SAMEA1569280,NA
ERR212088,SAMEA1569302,NA
ERR212089,SAMEA1569361,NA
ERR212090,SAMEA1569363,NA
ERR212092,SAMEA1569369,NA
ERR212093,SAMEA1569326,NA
ERR212094,SAMEA1569327,NA
ERR212095,SAMEA1569329,NA
ERR212096,SAMEA1569332,NA
ERR212097,SAMEA1569337,NA
ERR212099,SAMEA1569097,NA
ERR212101,SAMEA1569231,NA
ERR212102,SAMEA1569235,NA
ERR212103,SAMEA1569219,NA
ERR212104,SAMEA1569224,NA
ERR212105,SAMEA1569209,NA
ERR212106,SAMEA1569211,NA
ERR212108,SAMEA1569203,NA
ERR212110,SAMEA1569276,NA
ERR212111,SAMEA1569274,NA
ERR212113,SAMEA1569244,NA
ERR212115,SAMEA1569259,NA
ERR212116,SAMEA1569253,NA
ERR212117,SAMEA1569250,NA
ERR212118,SAMEA1569362,NA
ERR212119,SAMEA1569171,NA
ERR212120,SAMEA1569175,NA
ERR212122,SAMEA1569181,NA
ERR212124,SAMEA1569195,NA
ERR212126,SAMEA1569205,NA
ERR212127,SAMEA1569208,NA
ERR212128,SAMEA1569212,NA
ERR212129,SAMEA1569139,NA
ERR212130,SAMEA1569149,NA
ERR212131,SAMEA1569145,NA
ERR212132,SAMEA1569333,NA
ERR212133,SAMEA1569331,NA
ERR212134,SAMEA1569335,NA
ERR212135,SAMEA1569325,NA
ERR212136,SAMEA1569328,NA
ERR212137,SAMEA1569346,NA
ERR212139,SAMEA1569261,NA
ERR212140,SAMEA1569299,NA
ERR212141,SAMEA1569292,NA
ERR212142,SAMEA1569287,NA
ERR212144,SAMEA1569281,NA
ERR212145,SAMEA1569322,NA
ERR212146,SAMEA1569319,NA
ERR212147,SAMEA1569313,NA
ERR212149,SAMEA1569207,NA
ERR212153,SAMEA1569223,NA
ERR212154,SAMEA1569217,NA
ERR212156,SAMEA1569172,NA
ERR212157,SAMEA1569167,NA
ERR212159,SAMEA1569106,NA
ERR212161,SAMEA1569101,NA
ERR212163,SAMEA1569126,NA
ERR212164,SAMEA1569135,NA
ERR212165,SAMEA1569116,NA
ERR212175,SAMEA1569262,NA
ERR212176,SAMEA1569268,NA
ERR212177,SAMEA1569269,NA
ERR212178,SAMEA1569137,NA
ERR212179,SAMEA1569117,NA
ERR212180,SAMEA1569112,NA
ERR212181,SAMEA1569120,NA
ERR216900,SAMEA1688643,NA
ERR216903,SAMEA1688556,NA
ERR216905,SAMEA1688561,NA
ERR216907,SAMEA1688564,NA
ERR216908,SAMEA1688565,NA
ERR216909,SAMEA1688567,NA
ERR216911,SAMEA1688569,NA
ERR216912,SAMEA1688611,NA
ERR216913,SAMEA1688607,NA
ERR216915,SAMEA1688479,NA
ERR216916,SAMEA1688470,NA
ERR216917,SAMEA1688472,NA
ERR216920,SAMEA1688496,NA
ERR216921,SAMEA1688481,NA
ERR216922,SAMEA1688529,NA
ERR216923,SAMEA1688530,NA
ERR216924,SAMEA1688526,NA
ERR216925,SAMEA1688523,NA
ERR216926,SAMEA1688541,NA
ERR216931,SAMEA1688518,NA
ERR216935,SAMEA1688497,NA
ERR216936,SAMEA1688484,NA
ERR216937,SAMEA1688486,NA
ERR216939,SAMEA1688504,NA
ERR216940,SAMEA1688500,NA
ERR216942,SAMEA1688599,NA
ERR216943,SAMEA1688610,NA
ERR216945,SAMEA1688603,NA
ERR216958,SAMEA1688651,NA
ERR216968,SAMEA1688573,NA
ERR216979,SAMEA1688532,NA
ERR216980,SAMEA1688533,NA
ERR216982,SAMEA1688492,NA
ERR2199741,SAMEA104394386,NA
ERR2199742,SAMEA104394387,NA
ERR2199743,SAMEA104394388,NA
ERR2199744,SAMEA104394389,NA
ERR2199745,SAMEA104394390,NA
ERR2199746,SAMEA104394391,NA
ERR2199749,SAMEA104394392,NA
ERR2199753,SAMEA104394393,NA
ERR2199754,SAMEA104394394,NA
ERR2199756,SAMEA104394395,NA
ERR2199761,SAMEA104394396,NA
ERR2199763,SAMEA104394397,NA
ERR2199765,SAMEA104394398,NA
ERR2199769,SAMEA104394399,NA
ERR2199770,SAMEA104394400,NA
ERR2199771,SAMEA104394401,NA
ERR2199772,SAMEA104394402,NA
ERR2199773,SAMEA104394403,NA
ERR2199775,SAMEA104394404,NA
ERR2199776,SAMEA104394405,NA
ERR2199777,SAMEA104394406,NA
ERR2199779,SAMEA104394407,NA
ERR2199780,SAMEA104394408,NA
ERR2199781,SAMEA104394409,NA
ERR2199782,SAMEA104394410,NA
ERR2199783,SAMEA104394411,NA
ERR2199784,SAMEA104394412,NA
ERR2199785,SAMEA104394413,NA
ERR2199786,SAMEA104394414,NA
ERR2199787,SAMEA104394415,NA
ERR2199788,SAMEA104394416,NA
ERR2199789,SAMEA104394417,NA
ERR2199791,SAMEA104394418,NA
ERR2199792,SAMEA104394419,NA
ERR2199794,SAMEA104394420,NA
ERR2199795,SAMEA104394421,NA
ERR2199796,SAMEA104394422,NA
ERR2199797,SAMEA104394423,NA
ERR2199798,SAMEA104394424,NA
ERR2199799,SAMEA104394425,NA
ERR2199800,SAMEA104394426,NA
ERR2199801,SAMEA104394427,NA
ERR2199803,SAMEA104394428,NA
ERR2199804,SAMEA104394429,NA
ERR2199806,SAMEA104394430,NA
ERR2199807,SAMEA104394431,NA
ERR2199808,SAMEA104394432,NA
ERR2199809,SAMEA104394433,NA
ERR2199810,SAMEA104394434,NA
ERR2199812,SAMEA104394435,NA
ERR2199816,SAMEA104394437,NA
ERR2199817,SAMEA104394438,NA
ERR2199818,SAMEA104394439,NA
ERR2199819,SAMEA104394440,NA
ERR2199820,SAMEA104394441,NA
ERR2199821,SAMEA104394442,NA
ERR2199822,SAMEA104394443,NA
ERR2199823,SAMEA104394444,NA
ERR2199825,SAMEA104394445,NA
ERR2199827,SAMEA104394446,NA
ERR2199828,SAMEA104394447,NA
ERR2199829,SAMEA104394448,NA
ERR2199830,SAMEA104394449,NA
ERR2199831,SAMEA104394450,NA
ERR2199832,SAMEA104394451,NA
ERR2199833,SAMEA104394452,NA
ERR2199834,SAMEA104394453,NA
ERR2199835,SAMEA104394454,NA
ERR2199837,SAMEA104394455,NA
ERR2199838,SAMEA104394456,NA
ERR2199839,SAMEA104394457,NA
ERR2199840,SAMEA104394458,NA
ERR2199841,SAMEA104394459,NA
ERR2199842,SAMEA104394460,NA
ERR2199846,SAMEA104394462,NA
ERR2199847,SAMEA104394463,NA
ERR2199848,SAMEA104394464,NA
ERR2199849,SAMEA104394465,NA
ERR2199850,SAMEA104394466,NA
ERR2199851,SAMEA104394467,NA
ERR2199852,SAMEA104394468,NA
ERR2199854,SAMEA104394469,NA
ERR2199856,SAMEA104394470,NA
ERR2199857,SAMEA104394471,NA
ERR2199858,SAMEA104394472,NA
ERR2199859,SAMEA104394473,NA
ERR2199860,SAMEA104394474,NA
ERR2199861,SAMEA104394475,NA
ERR2199863,SAMEA104394476,NA
ERR2199864,SAMEA104394477,NA
ERR2199865,SAMEA104394478,NA
ERR2199867,SAMEA104394479,NA
ERR2199868,SAMEA104394480,NA
ERR2199870,SAMEA104394481,NA
ERR2199871,SAMEA104394482,NA
ERR2199873,SAMEA104394483,NA
ERR2199874,SAMEA104394484,NA
ERR2199875,SAMEA104394485,NA
ERR2199877,SAMEA104394486,NA
ERR2199878,SAMEA104394487,NA
ERR2199879,SAMEA104394488,NA
ERR2199881,SAMEA104394489,NA
ERR2199883,SAMEA104394490,NA
ERR2199884,SAMEA104394491,NA
ERR2199886,SAMEA104394492,NA
ERR2199887,SAMEA104394493,NA
ERR2199888,SAMEA104394494,NA
ERR2199889,SAMEA104394495,NA
ERR2199890,SAMEA104394496,NA
ERR2199891,SAMEA104394497,NA
ERR2199892,SAMEA104394498,NA
ERR2199893,SAMEA104394499,NA
ERR2199894,SAMEA104394500,NA
ERR2199895,SAMEA104394501,NA
ERR2199896,SAMEA104394502,NA
ERR2199897,SAMEA104394503,NA
ERR2199898,SAMEA104394504,NA
ERR2199900,SAMEA104394505,NA
ERR2199902,SAMEA104394506,NA
ERR2199903,SAMEA104394507,NA
ERR2199904,SAMEA104394508,NA
ERR2199905,SAMEA104394509,NA
ERR2199906,SAMEA104394510,NA
ERR2199908,SAMEA104394511,NA
ERR2199909,SAMEA104394512,NA
ERR2199911,SAMEA104394513,NA
ERR2199912,SAMEA104394514,NA
ERR2199913,SAMEA104394515,NA
ERR2199914,SAMEA104394516,NA
ERR2199915,SAMEA104394517,NA
ERR2199916,SAMEA104394518,NA
ERR2199917,SAMEA104394519,NA
ERR2199918,SAMEA104394520,NA
ERR2199919,SAMEA104394521,NA
ERR2199920,SAMEA104394522,NA
ERR2199921,SAMEA104394523,NA
ERR2199922,SAMEA104394524,NA
ERR2199923,SAMEA104394525,NA
ERR2199924,SAMEA104394526,NA
ERR2199925,SAMEA104394527,NA
ERR2199926,SAMEA104394528,NA
ERR2199927,SAMEA104394529,NA
ERR2199928,SAMEA104394530,NA
ERR2199929,SAMEA104394531,NA
ERR2199930,SAMEA104394532,NA
ERR2199931,SAMEA104394533,NA
ERR2199932,SAMEA104394534,NA
ERR2199933,SAMEA104394535,NA
ERR2199934,SAMEA104394536,NA
ERR2199935,SAMEA104394537,NA
ERR2199936,SAMEA104394538,NA
ERR2199937,SAMEA104394539,NA
ERR2199938,SAMEA104394540,NA
ERR2199939,SAMEA104394541,NA
ERR2199940,SAMEA104394542,NA
ERR2199941,SAMEA104394543,NA
ERR2199942,SAMEA104394544,NA
ERR2199943,SAMEA104394545,NA
ERR2199944,SAMEA104394546,NA
ERR2199945,SAMEA104394547,NA
ERR2199946,SAMEA104394548,NA
ERR2199947,SAMEA104394549,NA
ERR2199948,SAMEA104394550,NA
ERR2199949,SAMEA104394551,NA
ERR2199950,SAMEA104394552,NA
ERR2199951,SAMEA104394553,NA
ERR2199952,SAMEA104394554,NA
ERR2199955,SAMEA104394556,NA
ERR2199956,SAMEA104394557,NA
ERR2199957,SAMEA104394558,NA
ERR2199958,SAMEA104394559,NA
ERR2199960,SAMEA104394560,NA
ERR2199961,SAMEA104394561,NA
ERR2199962,SAMEA104394562,NA
ERR2199963,SAMEA104394563,NA
ERR2199964,SAMEA104394564,NA
ERR2199965,SAMEA104394565,NA
ERR2199966,SAMEA104394566,NA
ERR2199967,SAMEA104394567,NA
ERR2199969,SAMEA104394568,NA
ERR2199970,SAMEA104394569,NA
ERR2199971,SAMEA104394570,NA
ERR2199972,SAMEA104394571,NA
ERR2199973,SAMEA104394572,NA
ERR2199974,SAMEA104394573,NA
ERR2199975,SAMEA104394574,NA
ERR2199976,SAMEA104394575,NA
ERR2199977,SAMEA104394576,NA
ERR2199978,SAMEA104394577,NA
ERR2199979,SAMEA104394578,NA
ERR2199980,SAMEA104394579,NA
ERR2199981,SAMEA104394580,NA
ERR2199982,SAMEA104394581,NA
ERR2199983,SAMEA104394582,NA
ERR2199985,SAMEA104394583,NA
ERR2199986,SAMEA104394584,NA
ERR2199987,SAMEA104394585,NA
ERR2199989,SAMEA104394586,NA
ERR2199990,SAMEA104394587,NA
ERR2199991,SAMEA104394588,NA
ERR2199992,SAMEA104394589,NA
ERR2199993,SAMEA104394590,NA
ERR2199995,SAMEA104394591,NA
ERR2199996,SAMEA104394592,NA
ERR2199998,SAMEA104394593,NA
ERR2199999,SAMEA104394594,NA
ERR2200000,SAMEA104394595,NA
ERR2200001,SAMEA104394596,NA
ERR2200002,SAMEA104394597,NA
ERR2200003,SAMEA104394598,NA
ERR2200004,SAMEA104394599,NA
ERR2200005,SAMEA104394600,NA
ERR2200006,SAMEA104394601,NA
ERR2200007,SAMEA104394602,NA
ERR2200008,SAMEA104394603,NA
ERR2200009,SAMEA104394604,NA
ERR2200010,SAMEA104394605,NA
ERR2200012,SAMEA104394606,NA
ERR2200013,SAMEA104394607,NA
ERR2200014,SAMEA104394608,NA
ERR2200015,SAMEA104394609,NA
ERR2200016,SAMEA104394610,NA
ERR2200017,SAMEA104394611,NA
ERR2200018,SAMEA104394612,NA
ERR2200019,SAMEA104394613,NA
ERR2200020,SAMEA104394614,NA
ERR2200021,SAMEA104394615,NA
ERR2200023,SAMEA104394616,NA
ERR2200024,SAMEA104394617,NA
ERR2200025,SAMEA104394618,NA
ERR2200027,SAMEA104394619,NA
ERR2200028,SAMEA104394620,NA
ERR2200029,SAMEA104394621,NA
ERR2200032,SAMEA104394622,NA
ERR2200033,SAMEA104394623,NA
ERR2200034,SAMEA104394624,NA
ERR2200035,SAMEA104394625,NA
ERR2200036,SAMEA104394626,NA
ERR2200037,SAMEA104394627,NA
ERR2200038,SAMEA104394628,NA
ERR2200039,SAMEA104394629,NA
ERR2200040,SAMEA104394630,NA
ERR2200041,SAMEA104394631,NA
ERR2200042,SAMEA104394632,NA
ERR2200043,SAMEA104394633,NA
ERR2200044,SAMEA104394634,NA
ERR2200045,SAMEA104394635,NA
ERR2200049,SAMEA104394636,NA
ERR2200050,SAMEA104394637,NA
ERR2200051,SAMEA104394638,NA
ERR2200052,SAMEA104394639,NA
ERR2200053,SAMEA104394640,NA
ERR2200054,SAMEA104394641,NA
ERR2200055,SAMEA104394642,NA
ERR2200056,SAMEA104394643,NA
ERR2200057,SAMEA104394644,NA
ERR2200059,SAMEA104394645,NA
ERR2200062,SAMEA104394646,NA
ERR2200063,SAMEA104394647,NA
ERR2200065,SAMEA104394648,NA
ERR2200067,SAMEA104394649,NA
ERR2200070,SAMEA104394651,NA
ERR2200071,SAMEA104394652,NA
ERR2200072,SAMEA104394653,NA
ERR2200073,SAMEA104394654,NA
ERR2200074,SAMEA104394655,NA
ERR2200076,SAMEA104394656,NA
ERR2200077,SAMEA104394657,NA
ERR2200078,SAMEA104394658,NA
ERR2200079,SAMEA104394659,NA
ERR2200080,SAMEA104394660,NA
ERR2200081,SAMEA104394661,NA
ERR2200082,SAMEA104394662,NA
ERR2200084,SAMEA104394663,NA
ERR2200085,SAMEA104394664,NA
ERR2200086,SAMEA2535278,NA
ERR2200087,SAMEA104394665,NA
ERR2200088,SAMEA104394666,NA
ERR2200089,SAMEA104394667,NA
ERR2200090,SAMEA104394668,NA
ERR2200091,SAMEA104394669,NA
ERR2200092,SAMEA104394670,NA
ERR2200093,SAMEA104394671,NA
ERR2200096,SAMEA104394672,NA
ERR2200097,SAMEA104394673,NA
ERR2200099,SAMEA104394674,NA
ERR2200100,SAMEA104394675,NA
ERR2200101,SAMEA104394676,NA
ERR2200102,SAMEA104394677,NA
ERR2200103,SAMEA104394678,NA
ERR2200105,SAMEA104394679,NA
ERR2200106,SAMEA104394680,NA
ERR2200107,SAMEA104394681,NA
ERR2200108,SAMEA104394682,NA
ERR2200109,SAMEA104394683,NA
ERR2200110,SAMEA104394684,NA
ERR2200111,SAMEA104394685,NA
ERR2200112,SAMEA104394686,NA
ERR2200113,SAMEA104394687,NA
ERR2200114,SAMEA104394688,NA
ERR2200115,SAMEA104394689,NA
ERR2200116,SAMEA104394690,NA
ERR2200117,SAMEA104394691,NA
ERR2200118,SAMEA104394692,NA
ERR2200119,SAMEA104394693,NA
ERR2200120,SAMEA104394694,NA
ERR2200121,SAMEA104394695,NA
ERR2200123,SAMEA104394696,NA
ERR2200124,SAMEA104394697,NA
ERR2200125,SAMEA104394698,NA
ERR2200126,SAMEA104394699,NA
ERR2200127,SAMEA104394700,NA
ERR2200129,SAMEA104394701,NA
ERR2200130,SAMEA104394702,NA
ERR2200131,SAMEA104394703,NA
ERR2200132,SAMEA104394704,NA
ERR2200133,SAMEA104394705,NA
ERR2200134,SAMEA104394706,NA
ERR2200136,SAMEA104394707,NA
ERR2200138,SAMEA104394708,NA
ERR2200139,SAMEA104394709,NA
ERR2200140,SAMEA104394710,NA
ERR2200141,SAMEA104394711,NA
ERR2200143,SAMEA104394712,NA
ERR2200144,SAMEA104394713,NA
ERR2200145,SAMEA104394714,NA
ERR2200147,SAMEA104394715,NA
ERR2200148,SAMEA104394716,NA
ERR2200149,SAMEA104394717,NA
ERR2200151,SAMEA104394718,NA
ERR221525,SAMEA1688694,NA
ERR221526,SAMEA1688690,NA
ERR221527,SAMEA1688687,NA
ERR221528,SAMEA1688702,NA
ERR221529,SAMEA1688701,NA
ERR221530,SAMEA1688700,NA
ERR221531,SAMEA1688699,NA
ERR221532,SAMEA1688698,NA
ERR221533,SAMEA1688670,NA
ERR221534,SAMEA1688650,NA
ERR221535,SAMEA1688649,NA
ERR221537,SAMEA1688652,NA
ERR221538,SAMEA1688660,NA
ERR221540,SAMEA1688659,NA
ERR221542,SAMEA1688632,NA
ERR221543,SAMEA1688638,NA
ERR221545,SAMEA1688617,NA
ERR221546,SAMEA1688618,NA
ERR221547,SAMEA1688620,NA
ERR221548,SAMEA1688609,NA
ERR221552,SAMEA1688597,NA
ERR221553,SAMEA1688594,NA
ERR221554,SAMEA1688566,NA
ERR221555,SAMEA1688563,NA
ERR221556,SAMEA1688559,NA
ERR221557,SAMEA1688560,NA
ERR221558,SAMEA1688554,NA
ERR221559,SAMEA1688557,NA
ERR221560,SAMEA1688547,NA
ERR221562,SAMEA1688550,NA
ERR221563,SAMEA1688544,NA
ERR221565,SAMEA1688510,NA
ERR221566,SAMEA1688508,NA
ERR221569,SAMEA1688501,NA
ERR221570,SAMEA1688503,NA
ERR221571,SAMEA1688505,NA
ERR221572,SAMEA1688482,NA
ERR221573,SAMEA1688483,NA
ERR221574,SAMEA1688697,NA
ERR221576,SAMEA1688692,NA
ERR221578,SAMEA1688691,NA
ERR221579,SAMEA1688686,NA
ERR221580,SAMEA1688682,NA
ERR221581,SAMEA1688684,NA
ERR221582,SAMEA1688677,NA
ERR221584,SAMEA1688521,NA
ERR221586,SAMEA1688517,NA
ERR221587,SAMEA1688516,NA
ERR221588,SAMEA1688515,NA
ERR221590,SAMEA1688513,NA
ERR221591,SAMEA1688509,NA
ERR221592,SAMEA1688512,NA
ERR221593,SAMEA1688506,NA
ERR221594,SAMEA1688586,NA
ERR221595,SAMEA1688587,NA
ERR221596,SAMEA1688596,NA
ERR221597,SAMEA1688593,NA
ERR221598,SAMEA1688579,NA
ERR221599,SAMEA1688576,NA
ERR221600,SAMEA1688584,NA
ERR221601,SAMEA1688583,NA
ERR221602,SAMEA1688581,NA
ERR221606,SAMEA1688637,NA
ERR221607,SAMEA1688633,NA
ERR221609,SAMEA1688619,NA
ERR221610,SAMEA1688615,NA
ERR221612,SAMEA1688689,NA
ERR221613,SAMEA1688683,NA
ERR221614,SAMEA1688680,NA
ERR221615,SAMEA1688678,NA
ERR227975,SAMEA1707175,PRJEB2138
ERR227976,SAMEA1707377,PRJEB2138
ERR227977,SAMEA1707383,PRJEB2138
ERR227979,SAMEA1707396,PRJEB2138
ERR227980,SAMEA1707399,PRJEB2138
ERR227981,SAMEA1707351,PRJEB2138
ERR227982,SAMEA1707355,PRJEB2138
ERR227983,SAMEA1707361,PRJEB2138
ERR227984,SAMEA1707366,PRJEB2138
ERR227985,SAMEA1707446,PRJEB2138
ERR227987,SAMEA1707564,PRJEB2138
ERR227988,SAMEA1707539,PRJEB2138
ERR227990,SAMEA1707547,PRJEB2138
ERR227991,SAMEA1707544,PRJEB2138
ERR227992,SAMEA1707540,PRJEB2138
ERR227994,SAMEA1707142,PRJEB2138
ERR227996,SAMEA1707275,PRJEB2138
ERR227997,SAMEA1707263,PRJEB2138
ERR227998,SAMEA1707257,PRJEB2138
ERR227999,SAMEA1707237,PRJEB2138
ERR228000,SAMEA1707313,PRJEB2138
